abrupt	突然的;意外的	⠁⠃⠗⠥⠏⠞
gravity	地心吸力	⠛⠗⠁⠧⠰⠽
greed	貪心	⠛⠗⠑⠫
guideline	指南;指導方針	⠛⠥⠊⠙⠑⠇⠔⠑
gypsy	吉普賽人;流浪者	⠛⠽⠏⠎⠽
hairdo	髮式；髮型;	⠓⠁⠊⠗⠙⠕
hairstyle	髮型	⠓⠁⠊⠗⠌⠽⠇⠑
handicraft	手工藝;手工藝品	⠓⠯⠊⠉⠗⠁⠋⠞
heir	繼承人;嗣子	⠓⠑⠊⠗
herb	草本植物;藥草	⠓⠻⠃
hermit	隱士	⠓⠻⠍⠊⠞
hi-fi	高傳真的音響裝置	⠓⠊⠤⠋⠊
hockey	曲棍球	⠓⠕⠉⠅⠑⠽
hoof	蹄	⠓⠕⠷
hostage	人質;抵押品	⠓⠕⠌⠁⠛⠑
housing	房屋；住宅	⠓⠳⠎⠬
idiot	白癡;笨蛋	⠊⠙⠊⠕⠞
impulse	衝動;推動力	⠊⠍⠏⠥⠇⠎⠑
indifference	漠不關心;無關緊要	⠔⠙⠊⠖⠻⠰⠑
interference	干涉；干預;擾亂	⠔⠞⠻⠋⠻⠰⠑
interpretation	解釋;闡明	⠔⠞⠻⠏⠗⠑⠞⠁⠰⠝
interpreter	通譯員	⠔⠞⠻⠏⠗⠑⠞⠻
intuition	直覺	⠔⠞⠥⠊⠰⠝
isle	小島	⠊⠎⠇⠑
ivy	常春藤	⠊⠧⠽
jade	玉;玉製品;綠玉色	⠚⠁⠙⠑
janitor	清潔工;管理員;看門人	⠚⠁⠝⠊⠞⠕⠗
jasmine	茉莉;淡黃色	⠚⠁⠎⠍⠔⠑
journalism	新聞業;新聞學	⠚⠳⠗⠝⠁⠇⠊⠎⠍
journalist	新聞工作者	⠚⠳⠗⠝⠁⠇⠊⠌
jury	陪審團	⠚⠥⠗⠽
lad	男孩;小伙子	⠇⠁⠙
landlady	女房東	⠇⠯⠇⠁⠙⠽
landlord	房東	⠇⠯⠐⠇
laser	雷射	⠇⠁⠎⠻
lash	鞭打;(風浪等的)猛烈打擊;斥責	⠇⠁⠩
latitude	緯度;	⠇⠁⠞⠊⠞⠥⠙⠑
lawmaker	立法者	⠇⠁⠺⠍⠁⠅⠻
legislation	立法;法規	⠇⠑⠛⠊⠎⠇⠁⠰⠝
lieutenant	中尉(或少尉);助理官	⠇⠊⠑⠥⠞⠢⠁⠝⠞
likelihood	可能;可能性	⠇⠊⠅⠑⠇⠊⠓⠕⠕⠙
livestock	(總稱)家畜	⠇⠊⠧⠑⠌⠕⠉⠅
lizard	蜥蜴	⠇⠊⠵⠜⠙
locust	蝗蟲	⠇⠕⠉⠥⠌
logo	商標	⠇⠕⠛⠕
longitude	經度	⠇⠰⠛⠊⠞⠥⠙⠑
lottery	獎券;彩票;抽籤;運氣	⠇⠕⠞⠞⠻⠽
lotus	蓮花	⠇⠕⠞⠥⠎
mainland	大陸	⠍⠁⠔⠇⠯
mainstream	(河的)主流;主要傾向	⠍⠁⠔⠌⠗⠂⠍
maintenance	維持;維修;保養	⠍⠁⠔⠞⠢⠨⠑
majesty	雄偉;壯麗;(帝王的)威嚴	⠍⠁⠚⠑⠌⠽
mammal	哺乳動物	⠍⠁⠍⠍⠁⠇
mansion	大廈；大樓	⠍⠁⠝⠨⠝
maple	槭樹;楓樹	⠍⠁⠏⠇⠑
marshal	元帥;高級將官;典禮官	⠍⠜⠩⠁⠇
masterpiece	傑作；名作	⠍⠁⠌⠻⠏⠊⠑⠉⠑
mayonnaise	蛋黃醬;美乃滋	⠍⠁⠽⠕⠝⠝⠁⠊⠎⠑
mechanics	力學;機械學;技術;技巧	⠍⠑⠡⠁⠝⠊⠉⠎
mermaid	美人魚	⠍⠻⠍⠁⠊⠙
mileage	總英里數;(每單位燃料的)行駛哩數	⠍⠊⠇⠂⠛⠑
milestone	里程碑;劃時代的事件	⠍⠊⠇⠑⠌⠐⠕
mint	薄荷;薄荷糖;造幣廠	⠍⠔⠞
miser	吝嗇鬼;守財奴	⠍⠊⠎⠻
mistress	女主人；主婦	⠍⠊⠌⠗⠑⠎⠎
mode	方式;型;模式	⠍⠕⠙⠑
molecule	分子;微小顆粒	⠍⠕⠇⠑⠉⠥⠇⠑
monarch	君主	⠍⠕⠝⠜⠡
motherhood	母性;(總稱)母親們	⠐⠍⠓⠕⠕⠙
motive	動機;主旨	⠍⠕⠞⠊⠧⠑
mower	割草機;收割機	⠍⠪⠻
muse	沈思;冥想	⠍⠥⠎⠑
mustard	芥末;芥菜;芥末色	⠍⠌⠜⠙
mutton	羊肉	⠍⠥⠞⠞⠕⠝
myth	神話;虛構的人(或事物)	⠍⠽⠹
newscast	新聞廣播	⠝⠑⠺⠎⠉⠁⠌
nightingale	夜鶯	⠝⠊⠣⠞⠬⠁⠇⠑
nostril	鼻孔	⠝⠕⠌⠗⠊⠇
notion	概念;想法;打算	⠝⠕⠰⠝
novice	新手;初學者	⠝⠕⠧⠊⠉⠑
nucleus	(原子)核;細胞核;核心	⠝⠥⠉⠇⠑⠥⠎
oar	槳;櫓;划手	⠕⠜
oasis	(沙漠中)的綠洲	⠕⠁⠎⠊⠎
oath	誓言;宣誓	⠕⠁⠹
oatmeal	燕麥片;燕麥粥	⠕⠁⠞⠍⠂⠇
observer	觀察員;奉行者	⠕⠃⠎⠻⠧⠻
occurrence	發生;出現;事件	⠕⠒⠥⠗⠗⠰⠑
octopus	章魚	⠕⠉⠞⠕⠏⠥⠎
odds	機會;可能性;投注賠率;不和	⠕⠙⠙⠎
odor	氣味	⠕⠙⠕⠗
opponent	對手;敵手；反對者	⠕⠏⠏⠕⠝⠢⠞
optimism	樂觀;樂觀主義	⠕⠏⠞⠊⠍⠊⠎⠍
orchard	果樹園;果樹林	⠕⠗⠡⠜⠙
organizer	組織者;萬用記事本	⠕⠗⠛⠁⠝⠊⠵⠻
orphanage	孤兒院;孤兒身分	⠕⠗⠏⠓⠁⠝⠁⠛⠑
ostrich	駝鳥;有駝鳥心理的人	⠕⠌⠗⠊⠡
ounce	盎司；英兩	⠳⠝⠉⠑
outsider	外人;門外漢;局外人	⠳⠞⠎⠊⠙⠻
outskirts	(複數)郊外;郊區	⠳⠞⠎⠅⠊⠗⠞⠎
oyster	牡蠣;沈默寡言的人	⠕⠽⠌⠻
ozone	臭氧	⠕⠵⠐⠕
packet	小包(裹);小捆;小袋	⠏⠁⠉⠅⠑⠞
pane	窗玻璃片;窗格;嵌板	⠏⠁⠝⠑
paradox	自相矛盾的議論	⠏⠜⠁⠙⠕⠭
parlor	客廳;接待室	⠏⠜⠇⠕⠗
participant	關係者;參與者	⠐⠏⠊⠉⠊⠏⠁⠝⠞
particle	微粒;顆粒	⠐⠏⠊⠉⠇⠑
pastime	消遣;娛樂	⠏⠁⠎⠐⠞
pastry	酥皮點心	⠏⠁⠌⠗⠽
patriot	愛國者	⠏⠁⠞⠗⠊⠕⠞
patron	贊助者;主顧(尤指老顧客)	⠏⠁⠞⠗⠕⠝
peacock	孔雀;愛炫耀的人	⠏⠂⠉⠕⠉⠅
peasant	農夫	⠏⠂⠎⠁⠝⠞
peddler	小販	⠏⠫⠙⠇⠻
performer	演出者;演奏者;表演者	⠏⠻⠿⠍⠻
personnel	(總稱)人員;員工;人事部門	⠏⠻⠎⠕⠝⠝⠑⠇
pessimism	悲觀;悲觀主義	⠏⠑⠎⠎⠊⠍⠊⠎⠍
pier	碼頭;防波堤	⠏⠊⠻
pilgrim	香客；朝聖者	⠏⠊⠇⠛⠗⠊⠍
pillar	柱子;棟樑	⠏⠊⠇⠇⠜
pimple	丘疹;面皰	⠏⠊⠍⠏⠇⠑
plague	瘟疫;天災;禍患	⠏⠇⠁⠛⠥⠑
plantation	大農園;造林地	⠏⠇⠁⠝⠞⠁⠰⠝
playwright	劇作家	⠏⠇⠁⠽⠺⠐⠗
plea	請求;懇求	⠏⠇⠑⠁
pocketbook	錢包;皮夾子;袖珍本	⠏⠕⠉⠅⠑⠞⠃⠕⠕⠅
porch	門廊;入口處;走廊	⠏⠕⠗⠡
poultry	家禽	⠏⠳⠇⠞⠗⠽
prairie	大草原	⠏⠗⠁⠊⠗⠊⠑
precaution	謹慎;預防措施	⠏⠗⠑⠉⠁⠥⠰⠝
preference	偏愛;優先(權)	⠏⠗⠑⠋⠻⠰⠑
priority	在先;重點;優先權	⠏⠗⠊⠕⠗⠰⠽
procession	一(長)列;一(長)排;隊伍	⠏⠗⠕⠉⠑⠎⠨⠝
prophet	先知	⠏⠗⠕⠏⠓⠑⠞
province	省；州	⠏⠗⠕⠧⠔⠉⠑
pyramid	(常大寫)金字塔;三角錐	⠏⠽⠗⠁⠍⠊⠙
quart	夸脫(=2	⠟⠥⠜⠞
quest	追求;探索	⠟⠥⠑⠌
radish	小蘿蔔	⠗⠁⠙⠊⠩
radius	半徑	⠗⠁⠙⠊⠥⠎
rail	欄杆;扶手;鐵軌	⠗⠁⠊⠇
rascal	無賴;淘氣鬼	⠗⠁⠎⠉⠁⠇
ratio	比率;比例	⠗⠁⠞⠊⠕
realm	王國;國土;領土	⠗⠂⠇⠍
reef	礁;暗礁	⠗⠑⠑⠋
refuge	躲避;避難;避難所	⠗⠑⠋⠥⠛⠑
relic	遺物;遺風;遺跡	⠗⠑⠇⠊⠉
reminder	提醒者；提醒物;催函	⠗⠑⠍⠔⠙⠻
resentment	憤慨;怨恨	⠗⠑⠎⠢⠞⠰⠞
residence	住所;住宅	⠗⠑⠎⠊⠙⠰⠑
rhino	犀牛	⠗⠓⠔⠕
rhinoceros	犀牛	⠗⠓⠔⠕⠉⠻⠕⠎
robin	知更鳥	⠗⠕⠃⠔
rod	棒；桿；竿	⠗⠕⠙
rubbish	垃圾;廢物	⠗⠥⠆⠊⠩
sandal	涼鞋;拖鞋	⠎⠯⠁⠇
scandal	醜聞;醜事	⠎⠉⠯⠁⠇
sculptor	雕刻家	⠎⠉⠥⠇⠏⠞⠕⠗
sensation	感覺;知覺;轟動	⠎⠢⠎⠁⠰⠝
sensitivity	敏感性;感受性	⠎⠢⠎⠊⠞⠊⠧⠰⠽
sentiment	感情;情緒;感傷	⠎⠢⠞⠊⠰⠞
sergeant	中士;警官	⠎⠻⠛⠂⠝⠞
series	連續;系列	⠎⠻⠊⠑⠎
sermon	佈道;說教	⠎⠻⠍⠕⠝
server	侍者;伺服器	⠎⠻⠧⠻
setting	安裝;設定;鑲嵌;背景	⠎⠑⠞⠞⠬
sheriff	警長	⠩⠻⠊⠋⠋
shortage	缺少；不足；匱乏	⠩⠕⠗⠞⠁⠛⠑
shortcoming	缺點；短處	⠩⠕⠗⠞⠉⠕⠍⠬
shrine	聖壇;神殿	⠩⠗⠔⠑
shrub	矮樹;灌木	⠩⠗⠥⠃
silkworm	蠶	⠎⠊⠇⠅⠺⠕⠗⠍
skeleton	骨骼;骨瘦如柴的人(或動物);概略	⠎⠅⠑⠇⠑⠞⠕⠝
skull	頭骨;骷髏畫	⠎⠅⠥⠇⠇
sneaker	運動鞋	⠎⠝⠂⠅⠻
spacecraft	太空船；航天器	⠎⠏⠁⠉⠑⠉⠗⠁⠋⠞
spaceship	太空船	⠎⠏⠁⠉⠑⠩⠊⠏
specialist	專家;專科醫生	⠎⠏⠑⠉⠊⠁⠇⠊⠌
specimen	樣品;標本	⠎⠏⠑⠉⠊⠍⠢
spectacle	景象;奇觀;壯觀	⠎⠏⠑⠉⠞⠁⠉⠇⠑
spectator	旁觀者;目擊者	⠎⠏⠑⠉⠞⠁⠞⠕⠗
spine	脊柱;書脊;骨氣	⠎⠏⠔⠑
splendor	光輝;壯觀;輝煌	⠎⠏⠇⠢⠙⠕⠗
stanza	詩的一節	⠌⠁⠝⠵⠁
statesman	政治家	⠌⠁⠞⠑⠎⠍⠁⠝
statistic	統計量;統計數值	⠌⠁⠞⠊⠌⠊⠉
steward	男服務員;管家	⠌⠑⠺⠜⠙
stewardess	(客機、輪船)女服務員	⠌⠑⠺⠜⠙⠑⠎⠎
storage	貯藏;貯藏庫	⠌⠕⠗⠁⠛⠑
strait	海峽	⠌⠗⠁⠊⠞
stripe	條紋;斑紋;線條	⠌⠗⠊⠏⠑
suitcase	小型旅行箱;手提箱	⠎⠥⠊⠞⠉⠁⠎⠑
sulfur	硫(磺);硫磺色	⠎⠥⠇⠋⠥⠗
superstition	迷信	⠎⠥⠏⠻⠌⠊⠰⠝
supervisor	管理人;指導者	⠎⠥⠏⠻⠧⠊⠎⠕⠗
tart	水果餡餅;水果蛋糕	⠞⠜⠞
tavern	小酒館;小客棧	⠞⠁⠧⠻⠝
teller	敘述者;(銀行)出納員	⠞⠑⠇⠇⠻
tempo	速度;拍子	⠞⠑⠍⠏⠕
temptation	引誘;誘惑;誘惑物	⠞⠑⠍⠏⠞⠁⠰⠝
thigh	股;大腿	⠹⠊⠣
thorn	刺;棘;惱人的事或人	⠹⠕⠗⠝
thriller	恐怖小說(或電影等)	⠹⠗⠊⠇⠇⠻
throne	王座;神座;君權;帝王	⠹⠗⠐⠕
toad	蟾蜍;令人討厭的人	⠞⠕⠁⠙
token	標誌;象徵;代價券;籌碼	⠞⠕⠅⠢
torrent	洪流;(話語的)連發;(感情的)狂潮	⠞⠕⠗⠗⠢⠞
tournament	比賽;錦標賽	⠞⠳⠗⠝⠁⠰⠞
trademark	商標	⠞⠗⠁⠙⠑⠍⠜⠅
traitor	叛徒;賣國賊;背叛者	⠞⠗⠁⠊⠞⠕⠗
treasury	金庫;庫房;國庫;寶庫	⠞⠗⠂⠎⠥⠗⠽
treaty	條約；協定	⠞⠗⠂⠞⠽
tribute	進貢;敬意;尊崇	⠞⠗⠊⠃⠥⠞⠑
trout	鱒魚;鮭鱒魚	⠞⠗⠳⠞
tuition	學費	⠞⠥⠊⠰⠝
tuna	鮪魚	⠞⠥⠝⠁
tyrant	暴君;專橫的人	⠞⠽⠗⠁⠝⠞
undergraduate	大學生;大學肄業生	⠐⠥⠛⠗⠁⠙⠥⠁⠞⠑
vacancy	空;空白;空房;空缺	⠧⠁⠉⠁⠝⠉⠽
vanity	自負;虛榮;梳妝臺	⠧⠁⠝⠰⠽
vapor	水汽	⠧⠁⠏⠕⠗
vegetation	植被;草木	⠧⠑⠛⠑⠞⠁⠰⠝
vein	靜脈;(葉、翅、礦)脈;紋理	⠧⠑⠔
viewer	觀看者;觀眾	⠧⠊⠑⠺⠻
vigor	vigor	⠧⠊⠛⠕⠗
villain	壞人;反派角色	⠧⠊⠇⠇⠁⠔
vine	藤;藤蔓;葡萄樹	⠧⠔⠑
violinist	小提琴手	⠧⠊⠕⠇⠔⠊⠌
visa	簽證	⠧⠊⠎⠁
ware	(特定種類的)陶器;貨物	⠺⠜⠑
warrior	武士;戰士;勇士	⠺⠜⠗⠊⠕⠗
wheelchair	輪椅	⠱⠑⠑⠇⠡⠁⠊⠗
whiskey	威士忌酒	⠱⠊⠎⠅⠑⠽
whisky	威士忌酒	⠱⠊⠎⠅⠽
widower	鰥夫	⠺⠊⠙⠪⠻
wig	假髮	⠺⠊⠛
wilderness	荒野；荒漠	⠺⠊⠇⠙⠻⠰⠎
wildlife	野生生物	⠺⠊⠇⠙⠇⠊⠋⠑
woe	悲哀;災難	⠺⠕⠑
woodpecker	啄木鳥	⠺⠕⠕⠙⠏⠑⠉⠅⠻
workshop	作坊;研討會	⠐⠺⠩⠕⠏
wreath	花圈;花冠	⠺⠗⠂⠹
yeast	酵母;酵母片	⠽⠂⠌
yoga	瑜珈	⠽⠕⠛⠁
zinc	鋅	⠵⠔⠉
